[ 308.0, -48.0, 0.0 ]
[ 307.0, -48.0, 0.0 ]
[ 306.0, -49.0, 0.0 ]
[ 305.0, -49.0, 0.0 ]
[ 304.0, -49.0, 0.0 ]
[ 303.0, -49.0, 0.0 ]
[ 302.0, -49.0, 0.0 ]
[ 301.0, -49.0, 0.0 ]
[ 300.0, -49.0, 0.0 ]
[ 299.0, -49.0, 0.0 ]
[ 298.0, -49.0, 0.0 ]
[ 297.0, -49.0, 0.0 ]
[ 296.0, -48.0, 0.0 ]
[ 295.0, -48.0, 0.0 ]
[ 294.0, -47.0, 0.0 ]
[ 293.0, -47.0, 0.0 ]
[ 292.0, -46.0, 0.0 ]
[ 291.0, -45.0, 0.0 ]
[ 290.0, -44.0, 0.0 ]
[ 289.0, -43.0, 0.0 ]
[ 288.0, -42.0, 0.0 ]
[ 288.0, -41.0, 0.0 ]
[ 287.0, -40.0, 0.0 ]
[ 287.0, -39.0, 0.0 ]
[ 287.0, -38.0, 0.0 ]
[ 286.0, -37.0, 0.0 ]
[ 286.0, -36.0, 0.0 ]
[ 286.0, -35.0, 0.0 ]
[ 286.0, -34.0, 0.0 ]
[ 286.0, -33.0, 0.0 ]
[ 286.0, -32.0, 0.0 ]
[ 287.0, -31.0, 0.0 ]
[ 288.0, -31.0, 0.0 ]
[ 289.0, -31.0, 0.0 ]
[ 290.0, -31.0, 0.0 ]
[ 291.0, -31.0, 0.0 ]
[ 292.0, -31.0, 0.0 ]
[ 293.0, -31.0, 0.0 ]
[ 294.0, -31.0, 0.0 ]
[ 295.0, -31.0, 0.0 ]
[ 296.0, -31.0, 0.0 ]
[ 297.0, -31.0, 0.0 ]
[ 298.0, -31.0, 0.0 ]
[ 299.0, -31.0, 0.0 ]
[ 300.0, -31.0, 0.0 ]
[ 301.0, -31.0, 0.0 ]
[ 302.0, -31.0, 0.0 ]
[ 303.0, -31.0, 0.0 ]
[ 304.0, -31.0, 0.0 ]
[ 305.0, -31.0, 0.0 ]
[ 306.0, -31.0, 0.0 ]
[ 307.0, -31.0, 0.0 ]
[ 308.0, -31.0, 0.0 ]
[ 309.0, -31.0, 0.0 ]
[ 310.0, -31.0, 0.0 ]
[ 311.0, -31.0, 0.0 ]
[ 312.0, -31.0, 0.0 ]
[ 313.0, -31.0, 0.0 ]
[ 314.0, -31.0, 0.0 ]
[ 315.0, -31.0, 0.0 ]
[ 316.0, -32.0, 0.0 ]
[ 316.0, -33.0, 0.0 ]
[ 316.0, -34.0, 0.0 ]
